,筆跡鑑定という仕事,images/motokazu_back-01.png,audio/easy_2.mp3,筆跡鑑定家は古筆見または古筆目利 [こひつめきき] と呼ばれたんだ。古筆を書いた人物をすべて明らかにすることは不可能なんだけど、それでも、鑑定家たちはそれを行わなくてはならない存在だったんだ。鑑定結果は正しくなくても、切の書写時期と鑑定の人物の時代の一致率が高いことは、従来も認められてきたんだよ。鑑定することを「極める」と言うんだけど、彼らなりの追究を行っていたんだね。鑑定結果を文化事象として捉えることによって、新たに見えてくることや理解できることもあるんだよ。<br>このセクション2 では、鑑定をする中で編纂され、また鑑定のために利用されてきた一覧や辞典、古筆手鑑を製作する際の手引きなどの、様々な工具書的資料を紹介していくよ。
7,本朝古今名公古筆諸流（萬宝全書5の内）,<img src='images/sec2/7_1.jpg' alt=''><img src='images/sec2/7_2.jpg' alt=''><img src='images/sec2/7_3.jpg' alt=''><img src='images/sec2/7_4.jpg' alt=''><img src='images/sec2/7_5.jpg' alt=''>,audio/easy_2_7.mp3,古筆鑑定家たちは、古筆をたくさん見て、書風によって流派を分類して名称を付し、それぞれに属する人物を整理して、日本の書道史を把握して、鑑定に利用しました。こうしてできたのが「書流系譜」で、次第に改訂増補されていきました。<br>元禄7 年刊の『萬宝全書[ばんぽうぜんしょ]』13冊の第5冊に収載された「本朝古今名公古筆諸流」は、諸流系譜の初期段階のものです。
8,古筆分流,<img src='images/sec2/8_1.jpg' alt=''><img src='images/sec2/8_2.jpg' alt=''><img src='images/sec2/8_3.jpg' alt=''><img src='images/sec2/8_4.jpg' alt=''><img src='images/sec2/8_5.jpg' alt=''><img src='images/sec2/8_6.jpg' alt=''>,audio/easy_2_8.mp3,後補表紙の下の元共紙表紙の中央に「古筆分流」と書かれるのみで、誰の作とも知れず、類本も見当たらない「書流系譜」の写本です。最初に「一流物 」として、判定しやすい人物が60 名列挙され、40 の流派名と各々に属する人名が列記されます。17 世紀頃までの人名が見えますが、各流派の人数も少なく、かなり簡略なものです。
9,手鑑行列,<img src='images/sec2/9_1.jpg' alt=''>,audio/easy_2_9.mp3,古筆見たちは古筆手鑑の作製も行っていたと思われます。手鑑は切を筆者の身分や職種などで分類し、身分順で貼るのが基本ですが、一部特殊な約束もありました。そうした法則を知らなくても、手鑑を作ることができる参考書が「手鑑行列」です。<br>上下2 段構成になっており、上段が手鑑の表面、下段は裏面を意味します。分類名を掲げてから、そこに属する人名や家名を手鑑に貼るべき順に列挙しています。
10,古筆要書2巻,<img src='images/sec2/10_1.jpg' alt=''>,audio/easy_2_10.mp3,「手鑑行列」と同じ法則で並んだ人名に、その筆跡とされる古筆切を掲出した、筆者別古筆切リストを「古筆名葉集」と総称します。表紙に「古筆要書 乾 」とあるのみで、誰の編とも知れません。<br>「名葉集」版本と比較すると、銘のある名物切数が少ない代わりに、模様を模写するなど紙の説明が詳しく、身分の分類表示があり、人名に略伝や書流の注記があるなど、かなりの性格の違いが確認できます。
11,古筆名物切,<img src='images/sec2/11_1.jpg' alt=''><img src='images/sec2/11_2.jpg' alt=''><img src='images/sec2/11_3.jpg' alt=''><img src='images/sec2/11_4.jpg' alt=''>,audio/easy_2_11.mp3,古筆切のリストは、版本「古筆名葉集」のように手帳サイズが目立ちます。「名葉集」は手鑑と同じ法則で人名が並びますが、これは著名な切の筆者約260 名が列挙されます。切の説明は「名葉集」に比べ簡略ですが、名物切の範疇を伝えていて貴重な資料です。
12,古筆類葉集,<img src='images/sec2/12_1.jpg' alt=''><img src='images/sec2/12_2.jpg' alt=''><img src='images/sec2/12_3.jpg' alt=''><img src='images/sec2/12_4.jpg' alt=''>,audio/easy_2_12.mp3,手帳サイズが多い古筆切リストの中で、大ぶりな伝本が目立つのが『古筆類葉集』です。扉に「古筆類葉集了延撰全」とあり、7 代了延の編と分かります。<br>人名の排列が手鑑の順であるのは版本「古筆名葉集」と同様ですが、区分名があり、固有の銘を有する切が少ないなどの特徴があります。異本注記を含む朱の書入れが多い点が注目されます。
13,〔版本古筆名葉集類〕,<img src='images/sec2/13_1.jpg' alt=''><img src='images/sec2/13_2.jpg' alt=''><img src='images/sec2/13_3.jpg' alt=''><img src='images/sec2/13_4.jpg' alt=''><img src='images/sec2/13_5.jpg' alt=''><img src='images/sec2/13_6.jpg' alt=''><img src='images/sec2/13_7.jpg' alt=''>,audio/easy_2_13.mp3,古筆切リストにして手鑑行列の役割を兼ねる『古筆名葉集』は、文化5 年刊行以来明治18 年まで度々増補され何度も印行されました。今回は、１．陶々居 編『古筆名葉集』文化5 年京 長村半兵衛・中川藤四郎刊、２．同 同年同書肆[しょし]刊、３．同 文政11年 青藜館主人跋刊 ４．塙忠宝[はなわ ただとみ]増補『増補古筆名葉集』安政5年 序刊 薄葉刷、５．同安政5年序刊 薄葉刷、６．古筆了仲編『増補古筆名葉集』明治18 年序刊、７．同明治18 年坂昌員刊 の7種を並べてみました。<br>４．７．は古筆家旧蔵で、４．には漏れが多く順序も錯乱していると批判する朱筆識語があり、書き入れも目立ちます。
14,昭和古筆名葉集,<img src='images/sec2/14_1.jpg' alt=''><img src='images/sec2/14_2.jpg' alt=''><img src='images/sec2/14_3.jpg' alt=''>,audio/easy_2_14.mp3,編者の田中塊堂は写経研究でも著名な書家です。この『昭和古筆名葉集』は、古筆別家系の版本『新撰古筆名葉集』の内容に、新しい名物の情報を約 100 点追加しており、その部分には「〇」記号が加えられています。
15,〔写本名葉集〕,<img src='images/sec2/15_1.jpg' alt=''><img src='images/sec2/15_2.jpg' alt=''><img src='images/sec2/15_3.jpg' alt=''>,audio/easy_2_15.mp3,奉書の保護紙に包まれた、寸法もまちまちな仮綴（かりとじ）の横本ですが、古筆家の最重要資料の一つです。下部には歴代の古筆見の略称が朱筆で書き入れられ、10 代了伴まで確認できます。不足部分や意味不明の墨印が存在することから、今後の詳細な研究が必要な資料です。
16,古筆俳諧短冊,<img src='images/sec2/16_1.jpg' alt=''><img src='images/sec2/16_2.jpg' alt=''><img src='images/sec2/16_3.jpg' alt=''><img src='images/sec2/16_4.jpg' alt=''>,audio/easy_2_16.mp3,鑑定には比較材料が必須である為、古筆見たちは切や短冊の現物に加えて、様々な筆跡類を原寸大で模写して収集してもいました。幕末以降の写のようですが、原品が失われたものもあるはずで、史料価値は高いと思われます。 これはその一例で、「古筆俳諧短冊」[こひつはいかいたんざく]と題された仮綴じの3 冊に、計804 枚の俳諧短冊が模写されています。珍しい俳諧に限定した手鑑であることと、枚数が多いことから、幸いに原本が現存していることが確認できました。
17,画印印鑑譜5巻欠巻1,<img src='images/sec2/17_1.jpg' alt=''><img src='images/sec2/17_2.jpg' alt=''><img src='images/sec2/17_3.jpg' alt=''>,audio/easy_2_17.mp3,人名、簡単な解説に、透写した落款印章[らっかんいんしょう]を貼り付けた印譜[いんぷ]です。 江戸初期の絵師である狩野探幽[かのう たんゆう]の項には、探幽作成の極札が挟み込まれており、狩野家の絵画の鑑定活動への関心がうかがえます。これは古筆家が明治頃から、絵画の鑑定をも行っていたことを示す資料としても注目されます。
18,知譜拙記2巻,<img src='images/sec2/18_1.jpg' alt=''><img src='images/sec2/18_2.jpg' alt=''><img src='images/sec2/18_3.jpg' alt=''><img src='images/sec2/18_3.jpg' alt=''>,audio/easy_2_18.mp3,この本は『改正増補諸家知譜拙記』の必要部分を、携帯に便利な大きさに書写しています。 栞としていたものか、東山天皇[ひがしやまてんのう] 即位式で宣命使を務めた、礼服[らいふく] ・礼冠[らいかん] 姿の東園基量[ひがしそのもとかず]（1653-1710）の、座像の正面と背面を、紙の表裏に極彩色で描いた、小さな紙片が上冊に挟み込まれていました。即位式当時のものである可能性があり、小さな大発見と言えそうです。
19,類聚名伝抄15巻,<img src='images/sec2/19_1.jpg' alt=''><img src='images/sec2/19_2.jpg' alt=''>,audio/easy_2_19.mp3,古筆見は人物の伝記研究も行いました。この本は外題・内題は『類聚名伝抄 [るいじゅみょうぎしょう]』とあります。冒頭に貞享5年の「顕伝明名録序 [けんでんめいめいろくじょ]」が付加され、末尾に は一字名一覧もあります。唐紙 [からかみ] の題簽 [だいせん]を有し、専用らしき刷罫紙 [すりけいし] を用いた上等な本です。